Uid,Organization uid,Business unit uid,Type,Name,Description,Entity,Definition
1,1,1,TABLE,Tracking website report,Tracking website report,Oro\Bundle\TrackingBundle\Entity\TrackingEvent,"{""columns"":[{""name"":""website+Oro\\Bundle\\TrackingBundle\\Entity\\TrackingWebsite::name"",""label"":""Website"",""sorting"":"""",""func"":null},{""name"":""name"",""label"":""Name"",""sorting"":"""",""func"":null},{""name"":""url"",""label"":""Url"",""sorting"":"""",""func"":null}]}"
2,1,1,TABLE,MailChimp Member report,MailChimp Member report,OroCRM\Bundle\MailChimpBundle\Entity\Member,"{""columns"":[{""name"":""email"",""label"":""Email"",""sorting"":"""",""func"":null},{""name"":""firstName"",""label"":""First Name"",""sorting"":"""",""func"":null},{""name"":""lastName"",""label"":""Last Name"",""sorting"":"""",""func"":null},{""name"":""memberRating"",""label"":""Member Rating"",""sorting"":"""",""func"":null}]}"
3,1,1,TABLE,MailChimp Campaign report,MailChimp Campaign report,OroCRM\Bundle\MailChimpBundle\Entity\Campaign,"{""columns"":[{""name"":""emailsSent"",""label"":""Emails Sent"",""sorting"":"""",""func"":null},{""name"":""clicks"",""label"":""Clicks"",""sorting"":"""",""func"":null},{""name"":""forwards"",""label"":""Forwards"",""sorting"":"""",""func"":null}]}"
4,1,1,TABLE,Profitable customers,Profitable customers,OroCRM\Bundle\MagentoBundle\Entity\Customer,"{""columns"":[{""name"":""id"",""label"":""Id"",""func"":"""",""sorting"":""""},{""name"":""firstName"",""label"":""First name"",""func"":"""",""sorting"":""""},{""name"":""lastName"",""label"":""Last name"",""func"":"""",""sorting"":""""},{""name"":""orders+OroCRM\\Bundle\\MagentoBundle\\Entity\\Order::totalAmount"",""label"":""Total amount"",""func"":{""name"":""Sum"",""group_type"":""aggregates"",""group_name"":""number""},""sorting"":""DESC""}],""grouping_columns"":[{""name"":""id""},{""name"":""firstName""},{""name"":""lastName""}],""filters"":[{""columnName"":""orders+OroCRM\\Bundle\\MagentoBundle\\Entity\\Order::totalPaidAmount"",""criterion"":{""filter"":""number"",""data"":{""value"":0,""type"":""2""}}}]}"
5,1,1,TABLE,Daily Activity Summary Report by Rep,Daily Activity Summary Report by Rep,Oro\Bundle\ActivityListBundle\Entity\ActivityList,"{""columns"":[{""name"":""relatedActivityClass"",""label"":""Related activity class"",""func"":"""",""sorting"":""""},{""name"":""relatedActivityClass"",""label"":""Count"",""func"":{""name"":""Count"",""group_type"":""aggregates"",""group_name"":""string""},""sorting"":""""}],""filters"":[{""columnName"":""createdAt"",""criterion"":{""filter"":""datetime"",""data"":{""type"":""1"",""part"":""value"",""value"":{""start"":""{{1}} - 1"",""end"":""{{1}}""}}}}],""grouping_columns"":[{""name"":""relatedActivityClass""}]}"
6,1,1,TABLE,Customers by Geography,Customers by Geography,OroCRM\Bundle\MagentoBundle\Entity\Customer,"{""columns"":[{""name"":""addresses+OroCRM\\Bundle\\MagentoBundle\\Entity\\Address::country_name"",""label"":""Country"",""func"":"""",""sorting"":""""},{""name"":""addresses+OroCRM\\Bundle\\MagentoBundle\\Entity\\Address::region_name"",""label"":""State"",""func"":"""",""sorting"":""""},{""name"":""id"",""label"":""Count"",""func"":{""name"":""Count"",""group_type"":""aggregates"",""group_name"":""number""},""sorting"":""DESC""}],""grouping_columns"":[{""name"":""addresses+OroCRM\\Bundle\\MagentoBundle\\Entity\\Address::country_name""},{""name"":""addresses+OroCRM\\Bundle\\MagentoBundle\\Entity\\Address::region_name""}],""filters"":[{""columnName"":""addresses+OroCRM\\Bundle\\MagentoBundle\\Entity\\Address::id"",""criterion"":{""filter"":""number"",""data"":{""type"":""filter_not_empty_option""}}}]}"
7,1,2,TABLE,"Abandoned Carts by Customers with Recent or Open Cases","Abandoned Carts by Customers with Recent or Open Cases",OroCRM\Bundle\MagentoBundle\Entity\Cart,"{""columns"":[{""name"":""customer+OroCRM\\Bundle\\MagentoBundle\\Entity\\Customer::firstName"",""label"":""Customer name"",""func"":"""",""sorting"":""""},{""name"":""customer+OroCRM\\Bundle\\MagentoBundle\\Entity\\Customer::lastName"",""label"":""Customer last name"",""func"":"""",""sorting"":""""},{""name"":""grandTotal"",""label"":""Grand total"",""func"":"""",""sorting"":""DESC""},{""name"":""status_label"",""label"":""Status"",""func"":"""",""sorting"":""""}],""filters"":[{""columnName"":""status_label"",""criterion"":{""filter"":""string"",""data"":{""value"":""open"",""type"":""3""}}}]}"
8,1,2,TABLE,"Customers Who Purchased X Product","Customers Who Purchased X Product",OroCRM\Bundle\MagentoBundle\Entity\Customer,"{""columns"":[{""name"":""id"",""label"":""Id"",""func"":"""",""sorting"":""""},{""name"":""firstName"",""label"":""First name"",""func"":"""",""sorting"":""""},{""name"":""lastName"",""label"":""Last name"",""func"":"""",""sorting"":""""},{""name"":""orders+OroCRM\\Bundle\\MagentoBundle\\Entity\\Order::cart+OroCRM\\Bundle\\MagentoBundle\\Entity\\Cart::itemsQty"",""label"":""Number of products"",""func"":{""name"":""Sum"",""group_type"":""aggregates"",""group_name"":""number""},""sorting"":""ASC""}],""filters"":[{""columnName"":""orders+OroCRM\\Bundle\\MagentoBundle\\Entity\\Order::status"",""criterion"":{""filter"":""string"",""data"":{""value"":""Completed"",""type"":""3""}}}],""grouping_columns"":[{""name"":""id""},{""name"":""firstName""},{""name"":""lastName""}]}"
9,1,2,TABLE,"High Value Abandoned Carts","High Value Abandoned Carts",OroCRM\Bundle\MagentoBundle\Entity\Cart,"{""columns"":[{""name"":""customer+OroCRM\\Bundle\\MagentoBundle\\Entity\\Customer::firstName"",""label"":""First name"",""func"":"""",""sorting"":""""},{""name"":""customer+OroCRM\\Bundle\\MagentoBundle\\Entity\\Customer::lastName"",""label"":""Last name"",""func"":"""",""sorting"":""""},{""name"":""status_label"",""label"":""Status"",""func"":"""",""sorting"":""""},{""name"":""grandTotal"",""label"":""Grand total"",""func"":"""",""sorting"":""""}],""filters"":[{""columnName"":""status_label"",""criterion"":{""filter"":""string"",""data"":{""value"":""Expired"",""type"":""3""}}},""OR"",{""columnName"":""status_label"",""criterion"":{""filter"":""string"",""data"":{""value"":""Lost"",""type"":""1""}}},""AND"",{""columnName"":""grandTotal"",""criterion"":{""filter"":""number"",""data"":{""value"":10000,""type"":""1""}}}]}"
10,1,2,TABLE,"Abandoned Cart by Top Customers by using RFM","Abandoned Cart by Top Customers by using RFM",OroCRM\Bundle\MagentoBundle\Entity\Customer,"{""columns"":[{""name"":""id"",""label"":""Customer Id"",""func"":"""",""sorting"":""""},{""name"":""firstName"",""label"":""First name"",""func"":"""",""sorting"":""""},{""name"":""lastName"",""label"":""Last name"",""func"":"""",""sorting"":""""},{""name"":""monetary"",""label"":""Monetary"",""func"":"""",""sorting"":""""},{""name"":""carts+OroCRM\\Bundle\\MagentoBundle\\Entity\\Cart::status_label"",""label"":""Status"",""func"":"""",""sorting"":""""},{""name"":""carts+OroCRM\\Bundle\\MagentoBundle\\Entity\\Cart::grandTotal"",""label"":""Grand total"",""func"":"""",""sorting"":""""},{""name"":""carts+OroCRM\\Bundle\\MagentoBundle\\Entity\\Cart::createdAt"",""label"":""Created At"",""func"":"""",""sorting"":""DESC""}],""filters"":[{""columnName"":""carts+OroCRM\\Bundle\\MagentoBundle\\Entity\\Cart::status_label"",""criterion"":{""filter"":""string"",""data"":{""value"":""Expired"",""type"":""3""}}},""OR"",{""columnName"":""carts+OroCRM\\Bundle\\MagentoBundle\\Entity\\Cart::status_label"",""criterion"":{""filter"":""string"",""data"":{""value"":""Lost"",""type"":""1""}}},""AND"",{""columnName"":""monetary"",""criterion"":{""filter"":""number"",""data"":{""value"":3,""type"":""2""}}}],""grouping_columns"":[]}"
